# z mu sigma
1.286608 19.849986 0.122517
1.294721 19.815912 0.122775
1.301975 19.880175 0.123006
1.307914 20.007089 0.123197
1.309104 20.031211 0.123235
1.318839 19.909441 0.123548
1.322257 20.160127 0.123659
1.323239 19.953742 0.123691
1.326631 19.849297 0.123800
1.329334 19.990486 0.123888
1.331797 19.996442 0.123968
1.339441 19.897433 0.124217
1.348555 19.782458 0.124514
1.353781 19.961632 0.124686
1.356868 19.898827 0.124787
1.362610 19.941734 0.124976
1.367050 19.893724 0.125123
1.370413 19.797917 0.125234
1.375383 19.993631 0.125399
1.377411 20.106441 0.125466
1.378359 19.935267 0.125497
1.383330 20.036245 0.125663
1.385794 20.021858 0.125745
1.400318 20.085558 0.126230
1.403250 20.137019 0.126329
1.406610 19.991554 0.126442
1.426342 20.140924 0.127108
1.430906 20.080446 0.127263
1.431492 20.113591 0.127283
1.436826 20.086902 0.127465
1.458029 20.320576 0.128191
1.462654 20.371028 0.128350
1.478626 20.163965 0.128902
1.480378 20.126085 0.128963
1.484463 20.250713 0.129105
1.485288 20.218643 0.129134
1.486402 20.158581 0.129173
1.491994 20.184660 0.129367
1.500274 20.136462 0.129657
1.502433 20.474430 0.129732
1.502567 20.242395 0.129737
1.508122 20.153790 0.129932
1.510086 20.293061 0.130001
1.512150 20.772400 0.130073
1.513756 20.304749 0.130130
1.519645 20.466793 0.130337
1.523533 20.227906 0.130474
1.525423 20.204458 0.130541
1.531895 20.380796 0.130770
1.533343 20.251562 0.130821
1.535648 20.305875 0.130903
1.540849 20.420346 0.131088
1.546891 20.385506 0.131303
1.569579 20.458715 0.132114
1.592560 20.321431 0.132944
1.594454 20.475986 0.133012
1.595228 20.365289 0.133040
1.595723 20.299401 0.133058
1.596230 20.150524 0.133077
1.610529 20.433378 0.133597
1.612509 20.456955 0.133669
1.613536 20.390279 0.133706
1.615583 20.404467 0.133781
1.616022 20.205301 0.133797
1.620477 20.508573 0.133960
1.622818 20.533971 0.134046
1.626930 20.349930 0.134196
1.629714 20.473558 0.134298
1.642648 20.570242 0.134774
1.642843 20.446974 0.134781
1.648946 20.496216 0.135007
1.650714 20.617704 0.135072
1.653103 20.339964 0.135160
1.662589 20.542658 0.135512
1.664276 20.429814 0.135574
1.665283 20.851660 0.135612
1.668058 20.576007 0.135715
1.671255 20.738958 0.135834
1.673008 20.648697 0.135899
1.674467 20.448189 0.135953
1.675474 20.554594 0.135991
1.676160 20.892502 0.136016
1.677625 20.236123 0.136071
1.688821 20.592734 0.136489
1.690163 20.694808 0.136539
1.699331 20.705363 0.136883
1.702976 20.527668 0.137020
1.706360 20.634045 0.137147
1.709940 20.580034 0.137282
1.710210 20.468692 0.137292
1.711456 20.649553 0.137339
1.713126 20.459492 0.137402
1.715603 20.489083 0.137496
1.716261 20.446187 0.137521
1.716700 20.731540 0.137537
1.719402 20.478321 0.137639
1.729524 20.566412 0.138022
1.731014 20.618841 0.138079
1.731769 20.491229 0.138107
1.734448 20.447965 0.138209
1.734760 20.562557 0.138221
1.743124 20.460042 0.138539
1.745555 20.797538 0.138631
1.751344 20.799281 0.138852
1.755992 20.531720 0.139029
1.756106 20.288945 0.139034
1.760404 20.701388 0.139198
1.760628 20.879804 0.139206
1.766702 20.813408 0.139439
1.767725 20.621499 0.139478
1.767897 20.832255 0.139485
1.771654 20.534953 0.139629
1.774039 20.750800 0.139721
1.776972 20.697820 0.139833
1.778706 20.802974 0.139900
1.786711 20.648870 0.140208
1.789425 20.886513 0.140313
1.790238 20.628191 0.140344
1.790885 20.618508 0.140369
1.794621 20.734391 0.140513
1.800117 20.686565 0.140726
1.803714 20.848068 0.140865
1.811609 20.575871 0.141171
1.813809 20.755128 0.141256
1.814057 20.725004 0.141266
1.814391 20.575307 0.141279
1.820463 20.768394 0.141515
1.822178 20.906466 0.141582
1.829429 20.536962 0.141864
1.830585 20.997443 0.141910
1.834985 20.718977 0.142081
1.842519 20.756751 0.142376
1.844000 20.945119 0.142434
1.848766 20.985168 0.142621
1.853436 20.544434 0.142804
1.854269 20.771016 0.142836
1.854736 21.055565 0.142855
1.854933 20.899711 0.142863
1.870607 20.600894 0.143479
1.873105 20.587577 0.143578
1.882914 20.830835 0.143965
1.883984 21.041348 0.144008
1.886784 20.843224 0.144119
1.888930 20.544774 0.144204
1.892166 20.860621 0.144332
1.892715 20.677465 0.144354
1.893766 20.785456 0.144395
1.897827 20.900981 0.144557
1.901750 20.691631 0.144712
1.901793 20.894199 0.144714
1.902579 20.773897 0.144745
1.904024 20.911575 0.144803
1.904109 20.889976 0.144806
1.904596 20.950185 0.144826
1.906411 20.977229 0.144898
1.908014 20.655133 0.144962
1.909857 20.702315 0.145035
1.912407 20.810968 0.145137
1.917893 20.878709 0.145355
1.917954 20.727887 0.145358
1.918495 20.847021 0.145379
1.920956 21.033287 0.145478
1.921034 20.921838 0.145481
1.935563 20.798953 0.146062
1.937026 21.141010 0.146121
1.938558 20.857527 0.146182
1.938692 20.994238 0.146188
1.939456 20.933982 0.146218
1.940520 20.962985 0.146261
1.942222 20.896876 0.146329
1.942418 20.748129 0.146337
1.943056 20.831848 0.146363
1.944642 20.997419 0.146426
1.946408 21.211314 0.146497
1.948970 21.010411 0.146600
1.956204 20.761038 0.146891
1.956792 20.827000 0.146915
1.957088 21.046621 0.146927
1.960119 20.757419 0.147049
1.960657 20.858437 0.147071
1.964982 20.981247 0.147245
1.968650 20.876140 0.147394
1.972235 21.143333 0.147538
1.973357 20.986180 0.147584
1.976238 21.251831 0.147700
1.978667 21.044055 0.147799
1.978948 20.834664 0.147810
1.978960 21.221696 0.147811
1.980060 20.949031 0.147855
1.982997 21.142440 0.147974
1.983316 20.994854 0.147987
1.988161 21.045110 0.148184
1.988637 21.013361 0.148203
1.990133 21.030469 0.148264
1.997085 20.898118 0.148546
2.004938 21.158350 0.148866
2.006831 21.326423 0.148943
2.007326 20.779095 0.148963
2.009694 21.002049 0.149060
2.009769 20.875399 0.149063
2.010709 21.135811 0.149101
2.013004 21.119721 0.149195
2.013387 21.249381 0.149210
2.019785 20.874410 0.149472
2.022319 21.097758 0.149575
2.026954 21.030300 0.149765
2.029952 20.821905 0.149888
2.033132 20.961661 0.150018
2.034881 20.921268 0.150090
2.035966 20.994969 0.150134
2.037289 21.080449 0.150188
2.040028 21.098389 0.150301
2.044125 20.965884 0.150469
2.044447 20.897763 0.150482
2.049705 21.107656 0.150698
2.049879 21.096116 0.150706
2.051055 20.916456 0.150754
2.063206 21.186626 0.151255
2.065924 21.029116 0.151367
2.066487 21.245247 0.151390
2.067816 20.862694 0.151445
2.069011 21.072188 0.151494
2.069921 21.414991 0.151532
2.073198 21.324776 0.151667
2.073372 21.080807 0.151675
2.073422 21.140130 0.151677
2.081668 20.972475 0.152018
2.088757 21.069474 0.152312
2.089577 21.210354 0.152346
2.091811 21.477966 0.152438
2.092152 21.032126 0.152453
2.096550 21.188796 0.152635
2.096842 21.145359 0.152647
2.097689 21.204536 0.152683
2.098056 21.146227 0.152698
2.106325 21.138623 0.153042
2.110145 20.993299 0.153201
2.115566 21.189023 0.153427
2.115771 21.106825 0.153435
2.121361 21.209420 0.153669
2.133716 21.099482 0.154185
2.135682 20.975485 0.154268
2.136866 21.392931 0.154317
2.137632 21.320413 0.154349
2.143872 20.897524 0.154611
2.147081 21.096557 0.154745
2.150481 21.223559 0.154888
2.152233 21.242825 0.154962
2.152313 21.351646 0.154965
2.160176 21.226933 0.155296
2.160512 21.405366 0.155310
2.161282 21.081409 0.155342
2.164154 21.433057 0.155463
2.169350 20.964807 0.155682
2.177172 21.296737 0.156012
2.179575 21.452439 0.156113
2.180764 21.182152 0.156164
2.183520 21.257205 0.156280
2.185327 21.183879 0.156356
2.190595 21.221673 0.156579
2.193884 21.123978 0.156719
2.195387 21.210179 0.156782
2.198769 21.257457 0.156925
2.200961 21.266504 0.157018
2.202095 21.093497 0.157066
2.203508 20.999750 0.157126
2.204335 21.045178 0.157161
2.205391 21.464820 0.157206
2.208577 21.320715 0.157341
2.211265 21.302650 0.157456
2.221850 21.264343 0.157906
2.225340 21.385697 0.158054
2.225787 21.240790 0.158073
2.227659 21.307721 0.158153
2.228178 21.467645 0.158175
2.229049 21.522036 0.158212
2.229645 21.234415 0.158238
2.235675 21.229977 0.158495
2.235759 21.146345 0.158498
2.236701 21.236938 0.158539
2.237568 21.196315 0.158576
2.242362 21.511228 0.158780
2.242856 21.104541 0.158801
2.243965 21.057910 0.158849
2.248676 21.082688 0.159050
2.250701 21.359317 0.159137
2.251917 21.469405 0.159189
2.253440 21.432582 0.159254
2.260264 21.325562 0.159546
2.260814 21.609412 0.159570
2.263227 21.165004 0.159673
2.263546 21.155975 0.159687
2.266648 21.269809 0.159820
2.266821 21.450700 0.159827
2.266887 21.428765 0.159830
2.270784 21.363635 0.159997
2.272597 21.484286 0.160075
2.273088 21.250968 0.160096
2.275456 21.451188 0.160198
2.282939 21.494404 0.160520
2.288176 21.186203 0.160745
2.289675 21.155510 0.160810
2.295940 21.440688 0.161080
2.297634 21.230379 0.161153
2.305234 21.366592 0.161481
2.305605 21.453329 0.161497
2.308327 21.474086 0.161614
2.309664 21.235706 0.161672
2.312467 21.516341 0.161793
2.317825 21.529526 0.162025
2.317942 21.583058 0.162030
2.321441 21.545615 0.162182
2.321530 21.462860 0.162185
2.323101 21.351287 0.162253
2.325629 21.475112 0.162363
2.326277 21.480324 0.162391
2.327715 21.371581 0.162453
2.328764 21.498320 0.162499
2.329713 21.289484 0.162540
2.332777 21.404755 0.162673
2.338141 21.270530 0.162906
2.338248 21.340689 0.162910
2.338338 21.352465 0.162914
2.341352 21.483418 0.163045
2.342348 21.539958 0.163088
2.349249 21.678374 0.163388
2.352243 21.235197 0.163519
2.356655 21.575692 0.163711
2.361457 21.336825 0.163920
2.362862 21.501745 0.163981
2.367696 21.284806 0.164192
2.368790 21.239028 0.164240
2.369509 21.581865 0.164271
2.369830 21.488761 0.164285
2.371506 21.483028 0.164358
2.381117 21.277576 0.164778
2.383632 21.444640 0.164888
2.384912 21.531343 0.164944
2.385494 21.409485 0.164969
2.388028 21.967816 0.165080
2.390790 21.592530 0.165201
2.393681 21.679139 0.165328
2.399679 21.486306 0.165590
2.404086 21.785949 0.165784
2.404786 21.553622 0.165814
2.406938 21.589417 0.165909
2.410193 21.451371 0.166052
2.411829 21.501510 0.166123
2.414175 21.595122 0.166226
2.416221 21.641661 0.166316
2.416810 21.641839 0.166342
2.417085 21.326529 0.166354
2.417884 21.650817 0.166389
2.421035 21.295214 0.166528
2.421486 21.283894 0.166548
2.423771 21.700003 0.166648
2.425364 21.607867 0.166718
2.430740 21.474597 0.166955
2.431581 21.513863 0.166992
2.433547 21.714743 0.167079
2.434728 21.555807 0.167131
2.443152 21.548972 0.167502
2.444859 21.374833 0.167578
2.448715 21.881476 0.167748
2.449643 21.432338 0.167789
2.450577 21.459337 0.167830
2.450708 21.464743 0.167836
2.451074 21.650572 0.167852
2.452475 21.751128 0.167914
2.459254 21.565761 0.168213
2.460049 21.749383 0.168249
2.461820 21.443725 0.168327
2.462558 21.529142 0.168360
2.463038 21.551174 0.168381
2.463092 21.773816 0.168383
2.468154 21.960227 0.168607
2.468441 21.525944 0.168620
2.476652 21.120264 0.168984
2.477987 21.771689 0.169043
2.478528 21.830926 0.169067
2.482733 21.593127 0.169254
2.485371 21.509780 0.169371
2.486752 21.703004 0.169432
2.488672 21.654668 0.169517
2.489442 21.707522 0.169551
2.491905 21.719604 0.169661
2.497504 21.590952 0.169910
2.498496 21.783541 0.169954
2.499082 21.736061 0.169980
